12/2/19,I am a infrequent poster on this board but my company was importing 90% of the products we sold. We just completed switching 70% of our products to India. We are paying on average 12% more for products than the same products we bought from China. That seems to be the norm when moving out of China. My Chinese suppliers are not happy but are blaming Trump and do not have much faith that a deal will be done. They are content to wait another year. So do not look for a deal soon.,,
12/2/19,"I'm still logn for one reason: Holiday quarter earnings are going to be stellar. Go to any apple store on a weekday afternoon and you'll see why. And then we have a near perforect storm for 2020 steady services growth, Apple card growth, Apple TV still going to get glossed over even if it's not adding to the bottom line for the next couple of quarters and then 5G rollout. The Phone companies themselves are going to push 5G so hard, Apple will hardly have to advertise even.",,
12/2/19,Question for all. At what percentage of loss would you feel forced to liquidate your Apple position. Just curious. Mine would be a 100% loss.,,
12/2/19,China will wait until Trump is out of office before any trade resolution.,,
12/2/19,"Thanks for nothing Trump. What’s new, U.S. stocks down on concern over global trade risks and disappointing factory data. The S&P 500 Index headed toward its biggest drop in almost two months on a report that Trump will increase tariffs on China if Washington and Beijing can’t reach an agreement. Equities also retreated after Trump said he’s reinstating tariffs on steel and aluminum from Argentina and Brazil.",,
12/2/19,Happy Holidays! Don't worry be happy! We can still see $300 by December 2019. And Trump with a landslide!,1,
12/2/19,The last time the market reached such a high price-sales multiple was in September 2018 when a big sell-off began and in the first. quarter of 2000 just before the tech bubble burst.,-1,
12/2/19,They said that the Producer Index is down but there is another index which is actually up.. It is called the Markit Manuffacturing.,1,
12/2/19,Stock price upgraded to 296 by analyst today,1,Analyst
12/2/19,$AAPL does not look healthy today. But this bullish chart of the day does.,1,
12/3/19,Interesting how AAPL keeps trading in trends of three and mini dips.,,
12/3/19,"This week I spent about 6K on gifts and I am not even done yet. Nothing I bought was made in China except for one . So China has little effect on the great U.S. It knows that and it is hurting. On the other hand we revised our GDP upward. Black friday sales were fantastic and cyber Monday sales were very very up from last year. We also have low unemployment, low PE ratios, low inflation, low interest rates and lots of cash on our balance sheets. Balance Sheets are strong and top and bottom numbers are great in our income statement. We are also the an exporter of oil and gas Gone are the Jimmy Carter's days when we had a fuel shortage.",1,
